GEOID20,district
34007040203,11
34005192018,12
34007043025,11
34005030019,12
34007055008,11
34007055011,11
34005040004,11
34007055012,11
34007055009,11
34007055001,11
34007043021,11
34005160002,11
34007043011,11
34005040015,11
34007055002,11
34005115011,11
34007135016,11
34007080003,11
34007043031,11
34007040308,11
34007043007,11
34005125001,11
34007040306,11
34005065019,10
34005065032,10
34007080011,11
34007040307,11
34005065031,10
34005065020,8
34005040002,11
34005040017,11
34005040016,11
34007040305,11
34007040304,11
34005115012,11
34017040205,6
34017060206,6
34017060105,6
34017015005,6
34017060202,6
34005065028,10
34005065022,8
34005105007,10
34007170016,8
34007170011,10
34005125011,11
34005105003,10
34007175003,8
34007175001,10
34007175007,8
34005192032,12
34005060005,12
34005030002,12
34005030004,12
34005060006,12
34005060007,12
34005030006,12
34005192023,12
34005060008,12
34005030007,12
34005192022,12
34005192025,12
34005192026,12
34005192013,12
34005192033,12
34005192024,12
34005192021,12
34005045006,11
34005192031,12
34005030009,12
34007040201,11
34005115006,11
34007080001,11
34005115010,11
34007080013,11
34007040211,11
34007040103,11
34007040202,11
34007085008,11
34007080014,11
34007040204,11
34007040102,11
34007185002,11
34007043045,11
34007085010,11
34005065001,11
34005125010,11
34005115013,11
34005065003,11
34007043002,11
34005125013,11
34007185001,11
34005140001,11
34005140006,11
34007040109,11
34007055005,11
34007055007,11
34007055010,11
34007080005,11
34005140005,11
34007043014,11
34007055003,11
34007055006,11
34007130001,11
34007080009,11
34007040207,11
34007080015,11
34007043022,11
34005160003,11
34007040101,11
34007040206,11
34007040205,11
34007040210,11
34005040014,11
34007080008,11
34007040108,11
34007040208,11
34007040104,11
34007043044,11
34005125015,11
34005160001,11
34007040105,11
34007080012,11
34005125017,11
34007170006,10
34007040106,11
34005065010,10
34005065016,10
34007040209,11
34005065025,10
34005065015,11
34007040107,11
34005065011,10
34005040013,11
34005065026,10
34005040001,11
34005065024,10
34007040110,11
34007030002,10
34007030001,10
34005125020,11
34007170009,10
34007175002,10
34005105016,10
34007170010,11
34007175005,8
34005105011,10
34007175008,10
34007175006,10
34005050204,12
34005060004,12
34005190001,12
34005030003,12
34005030005,12
34005030001,12
34005025401,12
34005025402,12
34005060003,12
34005060002,12
34005030008,12
34005060001,12
34005010002,12
34005010003,12
34005030014,12
34007085007,11
34007085002,11
34007080004,11
34007130004,11
34007130002,11
34007043020,11
34007043035,11
34007080010,11
34007043026,11
34005115015,11
34005115016,11
34005125022,11
34005115014,11
34007005005,11
34005115009,11
34005040012,11
34007043013,11
34005040010,11
34007005006,11
34007005007,11
34007077101,11
34007077102,11
34007085006,11
34007043027,11
34005125019,11
34013070W46,5
34037040004,2
34037010006,2
34037010002,2
34041030002,2
34005125026,11
34007170015,11
34005105015,10
34005105008,10
34005105005,10
34007170014,10
34007170003,11
34005105002,10
34007043034,10
34005065030,11
34005105006,10
34007180203,8
34007025001,10
34007180106,8
34007030003,10
34005165003,10
34007180205,8
34005065014,10
34005065023,11
34007110009,10
34005065008,10
34001040018,8
34005065013,11
34005065009,10
34005040011,11
34007045001,8
34005040009,11
34007077103,11
34005065012,10
34005115017,11
34005105013,10
34007080006,11
34007010001,11
34005165002,10
34005050103,11
34005125005,11
34007130003,11
34007085003,11
34007043037,11
34007085001,11
34005030018,12
34007005001,11
34005030013,12
34007077201,11
34005010001,12
34005050303,11
34005192027,12
34005030015,12
34005050305,11
34005050101,11
34005192028,12
34007005002,11
34005025202,12
34007077202,11
34005045005,12
34007043019,11
34005025403,12
34007043040,11
34005190005,12
34005050306,11
34007005003,11
34005025303,12
34007043010,11
34005025203,12
34007077203,11
34005025302,12
34005050301,11
34005030012,12
34007090004,11
34005030011,12
34007005004,11
34005192035,12
34007125001,11
34005192034,12
34007005008,11
34005192029,12
34005190002,12
34005125018,11
34005045004,12
34005155001,12
34005125025,11
34005050203,12
34007125002,11
34005030016,12
34007043046,11
34005192036,11
34005025103,12
34005120007,12
34007090005,11
34005115018,11
34005055003,12
34005125027,11
34005125023,11
34007043033,10
34005065004,11
34005065006,11
34007043016,11
34005065021,10
34005125014,11
34005065007,11
34005065002,11
34005125021,11
34007077301,11
34007090002,11
34007085005,11
34005065005,11
34005050302,11
34005050304,11
34007043030,11
34005050102,11
34007043038,11
34007077302,11
34007090001,11
34007085004,11
34007165001,11
34007015002,11
34007125004,11
34007090006,11
34007035001,11
34007020006,11
34005190003,12
34007043036,11
34005050206,12
34005050202,12
34007043039,11
34005050106,11
34007125003,11
34005045003,11
34005125024,11
34005025102,12
34005025201,12
34005175002,12
34015105002,11
34007105002,11
34007105001,11
34007015005,11
34007090003,11
34029090036,9
34007015001,11
34029035058,9
34007020005,11
34007043005,11
34007015003,11
34005080002,11
34005155003,11
34005115020,11
34007043029,11
34007020003,11
34001030101,8
34009055001,8
34007043028,11
34001040004,8
34005155004,11
34005125002,11
34001115002,8
34001115001,8
34007020002,11
34011045001,8
34015010007,11
34001060001,8
34015100002,11
34015100003,11
34005080003,11
34007015004,11
34007090007,11
34005125016,11
34015105003,11
34007020007,11
34015100009,11
34007115002,11
34007115003,11
34005025101,12
34015100008,11
34005025301,12
34005030017,12
34007043047,11
34005030010,12
34007150001,11
34005095004,12
34005075203,12
34007020001,11
34005095003,12
34015105001,11
34005095005,12
34005190004,12
34007020004,11
34015100010,11
34005095002,12
34015100015,11
34011050102,8
34005075301,12
34007170001,11
34009055008,8
34005075202,12
34009080002,8
34015110102,11
34009055006,8
34007150004,11
34005115019,12
34005175003,12
34011050104,8
34007150006,11
34009055007,8
34005080005,11
34009055012,8
34007115001,11
34011010004,8
34005155005,11
34001040003,8
34005090005,11
34005105010,10
34015110103,11
34011070608,8
34007150005,11
34005105004,10
34001065003,10
34005155008,11
34001040002,8
34015010017,11
34007175004,10
34009055002,8
34007150002,11
34005105009,10
34011010002,8
34007065002,10
34009020003,8
34015010015,11
34005105001,10
34001040021,8
34015110101,11
34007025005,10
34015100005,11
34007180201,8
34001040001,8
34015110301,11
34015060001,11
34007043043,10
34005110003,10
34015060004,11
34007180401,10
34015060002,11
34007180306,10
34005045001,11
34015100007,11
34007025002,8
34005050201,11
34005125012,11
34005165001,10
34005125004,11
34007180303,10
34015060003,11
34007170004,11
34007170013,10
34007170005,11
34007170017,10
34007180202,8
34015110202,11
34007180104,8
34005050205,11
34005050104,11
34005110004,10
34015110302,11
34007025004,10
34015110303,11
34015010019,11
34005105012,10
34029090037,9
34029090002,9
34007170012,11
34007180103,8
34005105017,10
34007150003,11
34007110005,10
34005155006,11
34005950010,11
34007050003,10
34007180403,8
34005105014,10
34005110002,10
34005110001,10
34001065004,10
34005175001,12
34005090004,11
34005090006,11
34005090002,11
34005950009,11
34015110304,11
34007115004,11
34015110201,11
34005090007,10
34005075101,12
34005075302,12
34005075102,12
34005075201,12
34005075103,12
34005075303,12
34005020001,12
34005070001,12
34005015101,12
34005095001,12
34005095008,12
34005055002,11
34029090031,9
34029090038,9
34005015102,12
34029035030,9
34005055004,12
34005015103,12
34021015014,12
34029090004,9
34029090023,9
34005015301,12
34029035045,9
34005035002,12
34029090003,9
34029035048,9
34029090005,9
34015100016,11
34029090015,9
34015100001,11
34029070032,9
34029065001,9
34015100013,11
34005090008,11
34029055004,9
34015110203,11
34015070001,11
34007170018,11
34015010018,11
34015010004,11
34015010020,11
34007075002,11
34007170008,11
34007170007,10
34015110204,8
34015100014,11
34007075021,11
34005090003,11
34011070607,8
34011045002,8
34001060007,8
34011070610,8
34001060005,8
34001060003,8
34001060008,8
34001025001,8
34001060006,8
34013070C34,5
34001060012,8
34011050202,8
34011050402,8
34011050103,8
34011050101,8
34011050403,8
34011070609,8
34029090034,9
34011070604,8
34029090040,9
34011050501,8
34011070602,8
34011070603,8
34007110004,10
34001105201,8
34001105203,8
34005055007,12
34001105104,8
34007110007,10
34005095006,12
34001090101,8
34021015011,12
34001090102,8
34011070601,8
34007180405,10
34005120001,12
34015010021,11
34001105103,8
34009055014,8
34005155002,12
34007075034,10
34007075022,11
34009020008,8
34005120003,12
34007075019,10
34007155002,11
34011010003,8
34007155003,11
34005155007,11
34001105204,8
34001065006,10
34007075009,11
34021015012,12
34009080001,8
34007025003,8
34007155004,11
34001105102,8
34007095001,11
34005120002,12
34005180003,10
34007160003,11
34001090103,8
34005045002,12
34005080001,11
34007180102,8
34011010001,8
34007160004,11
34001070101,8
34005050105,11
34007075016,11
34021015029,12
34005165004,10
34007075026,11
34005080004,12
34001070203,8
34007180305,10
34021055S09,12
34015070003,11
34001040007,8
34007140003,10
34007160006,11
34005020008,12
34001070201,8
34007155001,11
34005090001,10
34005020007,12
34001070202,8
34007180302,8
34005020005,12
34007160001,11
34011070606,8
34007170002,11
34021015024,12
34007180301,10
34001105101,8
34005035001,12
34007075001,11
34001105202,8
34009040201,8
34005170004,10
34015100019,11
34001070102,8
34009055003,8
34015070002,11
34005180005,10
34009055013,8
34015010006,11
34001040006,8
34001065007,8
34001040022,8
34015100017,11
34007075035,10
34005200002,11
34015115001,8
34009040403,8
34005135002,11
34001095204,8
34015010009,11
34007180101,8
34015100006,11
34015115002,8
34005180002,10
34009040301,8
34007075013,11
34007180304,10
34009055015,8
34009055010,8
34021015005,12
34001060011,8
34007075018,10
34007075012,11
34015070004,11
34021055S08,12
34007180404,10
34011020002,8
34007075011,11
34001040012,8
34007075031,10
34015015001,8
34021055S02,12
34001040011,8
34007075036,10
34015010005,11
34007050002,10
34015115003,11
34015100004,11
34001060013,8
34007180204,10
34021055S07,12
34015100011,11
34007180402,10
34015100018,11
34001040019,8
34015010001,11
34005015201,12
34005170006,10
34015010010,11
34021015023,12
34009020006,8
34009040103,8
34005170005,10
34007075003,11
34009040101,8
34011ZZZZZZ,8
